,,,,,,,,,,
knowledgebase facts,workflows skills,technology,applications,problem,solution,,,,,
knowledgebase facts 50,workflows skills 50,technology 50,applications 50,problem 50,solution 50,50,,,,
knowledgebase facts 100,workflows skills 100,technology 100,applications 100,problem 100,solution 100,100,,,,
knowledgebase facts 250,workflows skills 250,technology 250,applications 250,problem 250,solution 250,250,,,,
knowledgebase facts 500,workflows skills 500,technology 500,applications 500,problem 500,solution 500,500,,,,
,,,,,,,,,,applications_100.mp4                                                            100%   67KB   2.6MB/s   00:00
,,,,,,,,,,applications_250.mp4                                                            100%   96KB   3.8MB/s   00:00
,,,,,,,,,,applications_50.mp4                                                             100%   25MB   4.5MB/s   00:05
,,,,,,,,,,applications_500.mp4                                                            100%  104KB   3.5MB/s   00:00
,,,,,,,,,,knowledgebase-facts_100.mp4                                                     100%  104KB   2.9MB/s   00:00
,,,,,,,,,,knowledgebase-facts_250.mp4                                                     100%   96KB   4.7MB/s   00:00
,,,,,,,,,,knowledgebase-facts_50.mp4                                                      100%  102KB   2.9MB/s   00:00
,,,,,,,,,,knowledgebase-facts_500.mp4                                                     100%  113KB   3.7MB/s   00:00
,,,,,,,,,,problem_100.mp4                                                                 100%   83KB   3.5MB/s   00:00
,,,,,,,,,,problem_250.mp4                                                                 100%   84KB   2.4MB/s   00:00
,,,,,,,,,,problem_50.mp4                                                                  100%   74KB   3.8MB/s   00:00
,,,,,,,,,,problem_500.mp4                                                                 100%   85KB   4.3MB/s   00:00
,,,,,,,,,,solution_100.mp4                                                                100%   68KB   3.4MB/s   00:00
,,,,,,,,,,solution_250.mp4                                                                100%   90KB   2.7MB/s   00:00
,,,,,,,,,,solution_50.mp4                                                                 100%   75KB   4.5MB/s   00:00
,,,,,,,,,,solution_500.mp4                                                                100%   90KB   3.9MB/s   00:00
,,,,,,,,,,technology_100.mp4                                                              100%   88KB   3.8MB/s   00:00
,,,,,,,,,,technology_250.mp4                                                              100%  101KB   4.0MB/s   00:00
,,,,,,,,,,technology_50.mp4                                                               100%   89KB   4.7MB/s   00:00
,,,,,,,,,,technology_500.mp4                                                              100%   94KB   3.1MB/s   00:00
,,,,,,,,,,workflows-skills_100.mp4                                                        100%  108KB   3.8MB/s   00:00
,,,,,,,,,,workflows-skills_250.mp4                                                        100%   85KB   4.5MB/s   00:00
,,,,,,,,,,workflows-skills_50.mp4                                                         100%  100KB   4.7MB/s   00:00
,,,,,,,,,,workflows-skills_500.mp4
