Hour,Longitude,Latitude,Elevation,Cumulative Time (hours)
8,-121.864152,38.358769,12.5,8.001171944444446
16,-120.753341,38.503073,531.75,16.01541333333333
24,-120.112938,38.702925,2385.5,24.003919166666666
32,-119.610499,39.22227,1356.0,32.009818333333335
40,-118.197085,39.284617,1346.75,40.026834722222226
48,-117.059179,39.488282,2087.25,48.00041416666667
56,-115.730499,39.392372,1893.75,56.04326805555556
64,-114.602762,39.033796,2096.75,64.00071083333333
72,-113.494129,38.498791,1689.75,72.00132527777778
80,-113.050407,37.67561,1806.5,80.00461416666666
88,-112.435028,37.735582,2258.25,88.00333027777778
96,-111.412191,37.819287,1846.75,96.00258722222223
104,-110.978119,38.347385,1396.0,104.00106972222223
112,-110.213131,37.677403,1529.5,112.0011475
120,-109.400721,37.745027,2195.5,120.00218444444444
128,-108.608617,37.48734,2095.25,128.0034625
136,-108.027999,37.993976,2276.75,136.00043194444444
144,-107.571631,38.44094,2152.5,144.00662694444446
152,-106.420073,38.405274,2580.25,152.00072972222222
160,-105.855066,38.377947,2673.75,160.01656555555556
168,-104.682998,38.258737,1452.5,168.00403333333333
176,-102.983998,38.498896,1339.75,176.09928000000002
184,-101.000087,38.482254,931.5,184.01783361111112
192,-99.082452,38.539313,616.75,192.00220416666667
200,-97.209066,38.551311,449.25,200.01697194444446
208,-95.556336,38.753247,341.5,208.0168852777778
